DATE,VOLUME,HIGH,LOW,CLOSE,OPEN,IMPORT
1993-12-17,112278.4952082,0.9985,0.9985,0.9985,,
1993-12-20,165981.29946628198,0.9985,0.9985,0.9985,,
1994-01-14,67367.09712492,1.0511,1.0511,1.0511,,
1994-01-17,89822.79616656,1.0642,1.0642,1.0642,,
1994-02-07,44911.39808328,1.1194,1.1194,1.1194,,
1994-06-03,68047.5728534545,1.2943,1.2344,1.2943,,
1994-06-14,13609.5145706909,1.4278,1.4278,1.4278,,
1994-07-07,13609.5145706909,1.5752,1.5752,1.5752,,
1994-07-28,13609.5145706909,1.7364,1.7364,1.7364,,
1995-01-10,27219.0291413818,1.7997,1.7997,1.7997,,
1995-02-17,370795.307332845,1.9845,1.9845,1.9845,,
1995-04-06,714937.7413304491,2.0818,2.0818,2.0818,,
1995-04-28,13609.5145706909,2.2909,2.2909,2.2909,,
1995-05-02,136095.145706909,2.3834,2.3834,2.3834,,
1995-05-08,6804.7572853455,2.6266,2.6266,2.6266,,
1995-05-26,6237.6941782333,2.8972,2.8972,2.8972,,
1995-06-13,6237.6941782333,3.1837,3.1837,3.1837,,
1995-06-26,6237.6941782333,3.3429,3.3429,3.3429,,
1995-06-27,12475.3883564667,3.5127,3.5127,3.5127,,
1995-07-03,6237.6941782333,3.8735,3.8735,3.8735,,
1995-07-04,6237.6941782333,4.0645,4.0645,4.0645,,
1995-07-05,56139.2476041,4.1388,4.1388,4.1388,,
1995-07-26,95436.72092697,4.5633,4.5633,4.5633,,
1995-07-27,5613.92476041,4.7166,4.7166,4.7166,,
1995-08-02,5613.92476041,5.1882,5.1882,5.1882,,
1995-08-18,5613.92476041,5.4492,5.4492,5.4492,,44900.0
1995-08-25,5613.92476041,5.704,5.704,5.704,,47000.0
1995-10-17,1122.784952082,5.6919,5.6919,5.6919,,9380.0
1995-10-18,129120.26948943,5.7647,5.4006,5.4006,,1068700.0
1995-10-19,16841.77428123,5.34,5.2793,5.2793,,131500.0
1995-10-23,16841.77428123,5.1579,5.1579,5.1579,,127500.0
